Price,Close,High,Low,Open,Volume,MA_7,MA_30
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA,,
Date,,,,,,,
2023-01-03,14.30147933959961,14.981836857108386,14.082686318071687,14.836973349478153,401277000,,
2023-01-04,14.73507022857666,14.838972099538859,14.227550577248294,14.55324290716645,431324000,,
2023-01-05,14.251529693603516,14.550247130082715,14.134639599138614,14.477316110789975,389168000,,
2023-01-06,14.844966888427734,14.995824302039097,14.020746235509238,14.460330266141224,405044000,,
2023-01-09,15.613240242004395,16.04083551016208,15.12669972895464,15.26956527336169,504231000,,
2023-01-10,15.893975257873535,15.946924699347406,15.45738770492271,15.492354496985383,384101000,,
2023-01-11,15.985886573791504,16.012861499247272,15.548300537353844,15.825039338857813,353285000,15.089449746268135,
2023-01-12,16.495403289794922,16.621283720638296,15.47736578997874,16.08479222411233,551409000,15.402867453438896,
2023-01-13,16.88304328918457,16.906022287923534,16.149737115561667,16.262629378708784,447287000,15.709720747811454,
2023-01-17,17.685283660888672,17.711260084721463,16.88304243708615,16.88304243708615,511102000,16.20025702885219,
2023-01-18,17.360591888427734,17.856121904906214,17.265680376384633,17.650317053573275,439624000,16.55963202885219,
2023-01-19,16.749168395996094,17.180761576267606,16.715202010993732,17.0199124023863,452932000,16.721907479422434,
2023-01-20,17.82215118408203,17.839135325204627,16.80910900112207,16.994932235706603,564967000,16.997361183166504,
2023-01-23,19.174877166748047,19.226828109758845,17.80117555604074,18.04694164648841,655163000,17.452931267874582,
2023-01-24,19.24680519104004,19.476589423278178,18.802225761623806,18.809219120213985,496204000,17.84598868233817,
2023-01-25,19.304750442504883,19.351706937761307,18.562452134690616,18.89513781742045,449537000,18.191946847098215,
2023-01-26,19.783296585083008,20.14695309854506,19.259791347875655,19.6823921496768,489535000,18.491662979125977,
2023-01-27,20.34576416015625,20.608516233257916,19.386671835768066,19.443617204129126,542142000,18.91811616080148,
2023-01-30,19.143903732299805,20.12097882695284,19.13191402868899,19.931159638223047,488611000,19.260221208844865,
2023-01-31,19.5185489654541,19.668406917071884,18.932103463425523,19.151894998761787,498017000,19.502563749040878,
2023-02-01,20.923221588134766,21.171985068230896,19.592478837615094,19.67240320696615,660477000,19.75232723781041,
2023-02-02,21.688495635986328,21.928268729004962,20.680449757489193,20.9801656473757,564276000,20.10114015851702,
2023-02-03,21.08007049560547,21.724461721839603,20.769363425697847,20.980164568929723,429366000,20.35475730895996,
